Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,
base map,1,2,0.00%,0.00%,0:00:18,1,datatype,datatype,,datatype,,,single
basemap,1,3,0.00%,33.33%,0:00:11,0,datatype,datatype,,datatype,,,single
basemaps,1,1,0.00%,100.00%,0:00:05,0,datatype,datatype,,datatype,,,single
contour,1,2,0.00%,100.00%,0:00:11,2,datatype,datatype,,datatype,,,single
contours,1,1,0.00%,100.00%,0:00:02,0,datatype,datatype,,datatype,,,single
DEM,2,1,50.00%,50.00%,0:00:15,0,datatype,datatype,,datatype,,,single
dem,1,1,0.00%,100.00%,0:13:51,1,datatype,datatype,,datatype,,,single
Dem,1,3,100.00%,0.00%,0:08:53,0,datatype,datatype,,datatype,,,single
digital elevation,1,1,0.00%,100.00%,0:00:10,0,datatype,topical,,datatype,,,single
digital elevation model,1,1,100.00%,0.00%,0:00:00,0,datatype,topical,,datatype,,,single
elevation,5,1.4,0.00%,42.86%,0:00:16,1,datatype,locational,,datatype,,,single
hill shade,1,2,0.00%,100.00%,0:00:11,0,datatype,datatype,,datatype,,,single
hillshade,1,2,0.00%,50.00%,0:00:05,1,datatype,datatype,,datatype,,,single
lidar,1,1,0.00%,100.00%,0:00:04,0,datatype,datatype,,datatype,,,single
NDVI,1,1,0.00%,100.00%,0:00:09,0,datatype,,,datatype,,,single
photogrammetry,1,1,0.00%,0.00%,0:00:40,4,datatype,datatype,,datatype,,,single
slope,1,1,0.00%,100.00%,0:00:06,0,datatype,topical,,datatype,,,single
topo,2,2,0.00%,50.00%,0:00:50,7,datatype,datatype,,datatype,,,single
topographic,1,2,0.00%,100.00%,0:00:24,2,datatype,datatype,,datatype,,,single
geotiff,1,1,0.00%,0.00%,0:00:07,2,format,datatype,,format,,,single
wms,1,1,0.00%,0.00%,0:00:56,4,format,,,format,,,single
64 counties,1,2,0.00%,50.00%,0:00:17,0,locational,locational,,locational,,,single
airports,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
aquifer,1,2,100.00%,0.00%,0:00:08,1,locational,locational,,locational,,,single
area zoning,1,1,0.00%,100.00%,0:00:21,0,locational,locational,,locational,,,single
basins,1,2,0.00%,50.00%,0:10:50,0,locational,locational,,locational,,,single
blocks,1,1,0.00%,0.00%,0:10:11,7,locational,topical,,locational,,,single
blue ribbon streams,1,1,0.00%,100.00%,0:00:05,0,locational,placename,,locational,,,single
boundaries,1,2,0.00%,100.00%,0:00:10,0,locational,locational,,locational,,,single
breweries,1,1,0.00%,100.00%,0:00:04,1,locational,locational,,locational,,,single
buiding,1,1,0.00%,100.00%,0:00:04,0,locational,locational,,locational,,,single
building,2,1,0.00%,0.00%,0:06:29,1.5,locational,locational,,locational,,,single
Building,2,1,0.00%,0.00%,0:00:11,1,locational,locational,,locational,,,single
camp,4,1.25,50.00%,60.00%,0:00:03,0,locational,locational,,locational,,,single
Camp,1,1,0.00%,100.00%,0:00:49,0,locational,locational,,locational,,,single
campground,1,2,0.00%,50.00%,0:00:11,1,locational,locational,,locational,,,single
camping,1,1,0.00%,100.00%,0:00:06,0,locational,locational,,locational,,,single
campsites,1,1,0.00%,100.00%,0:00:11,1,locational,locational,,locational,,,single
Campsites,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
campus,1,1,0.00%,0.00%,0:00:39,7,locational,locational,,locational,,,single
Campus,1,1,0.00%,100.00%,0:04:43,1,locational,locational,,locational,,,single
canals,1,1,0.00%,0.00%,0:51:23,7,locational,locational,,locational,,,single
cities,6,1.33,0.00%,25.00%,0:00:21,1,locational,locational,,locational,,,single
city,1,2,0.00%,0.00%,0:00:20,2,locational,locational,,locational,,,single
congressional,2,1,0.00%,100.00%,0:00:06,0,locational,locational,,locational,,,single
counties,9,3.56,0.00%,28.12%,0:01:01,1,locational,locational,,locational,,,single
countties,1,1,0.00%,100.00%,0:00:09,1,locational,locational,,locational,,,single
county,5,2,20.00%,20.00%,0:00:19,1.6,locational,locational,,locational,,,single
Crash,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
creek,1,1,0.00%,0.00%,0:27:42,24,locational,locational,,locational,,,single
dispenseries,1,1,0.00%,100.00%,0:00:12,0,locational,locational,,locational,,,single
ditches,1,2,0.00%,0.00%,0:05:44,1,locational,locational,,locational,,,single
dried up towns water,1,2,0.00%,100.00%,0:03:42,2,locational|topical,locational,,locational,topical,,combined
ecoregion,1,1,0.00%,100.00%,0:00:07,0,locational,locational,,locational,,,single
field,1,2,0.00%,0.00%,0:00:13,2,locational,locational,,locational,,,single
Fire Departments,1,3,0.00%,66.67%,0:00:34,1,locational,locational,,locational,,,single
floodplain,1,2,0.00%,50.00%,0:03:25,1,locational,locational,,locational,,,single
fluvial planes,1,1,0.00%,100.00%,0:00:30,0,locational,locational,,locational,,,single
food stores,1,1,0.00%,100.00%,0:00:14,1,locational,locational,,locational,,,single
Food Stores,1,3,0.00%,33.33%,0:08:11,4,locational,locational,,locational,,,single
forest,1,1,0.00%,100.00%,0:00:18,1,locational,locational,,locational,,,single
Ghost town,1,1,0.00%,0.00%,0:00:10,1,locational,locational,,locational,,,single
glacier,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
glaciers,2,1,50.00%,50.00%,0:00:03,0.5,locational,locational,,locational,,,single
grocery stores,1,1,0.00%,100.00%,0:00:10,0,locational,locational,,locational,,,single
Grocery stores,1,1,0.00%,100.00%,0:00:10,0,locational,locational,,locational,,,single
ground water,1,2,0.00%,50.00%,0:00:36,1,locational,locational,,locational,,,single
groundwater,2,1,0.00%,100.00%,0:00:04,0,locational,locational,,locational,,,single
Highway,1,1,0.00%,100.00%,0:00:28,1,locational,locational,,locational,,,single
highway crossing,1,5,0.00%,20.00%,0:02:35,2,locational,locational,,locational,,,single
highways,6,1,0.00%,83.33%,0:01:48,0.33,locational,locational,,locational,,,single
Hospitals,1,4,0.00%,25.00%,0:01:39,5,locational,locational,,locational,,,single
houses,1,4,0.00%,25.00%,0:26:34,1,locational,locational,,locational,,,single
Houses with more than 4 bedrooms,1,3,0.00%,0.00%,0:00:12,1,locational|topical,locational,,locational,topical,,combined
indigineous land,1,3,0.00%,66.67%,0:00:09,0,locational,locational,,locational,,,single
indigineous pipelines,1,1,0.00%,100.00%,0:00:02,0,locational,locational,,locational,,,single
Industrial land zoning,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
industrial zoning,1,1,0.00%,100.00%,0:00:05,0,locational,locational,,locational,,,single
industry area zoning,1,1,0.00%,100.00%,0:00:05,0,locational,locational,,locational,,,single
industry zoning,1,1,0.00%,100.00%,0:00:09,0,locational,locational,,locational,,,single
invasive trees,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
lakes,5,1.4,20.00%,57.14%,0:02:15,0.4,locational,locational,,locational,,,single
landslide,1,11,0.00%,0.00%,0:04:24,12,locational,locational,,locational,,,single
legistlative districts,1,1,0.00%,100.00%,0:00:03,0,locational,locational,,locational,,,single
libraries,1,2,0.00%,50.00%,0:00:41,1,locational,locational,,locational,,,single
library,2,1,0.00%,50.00%,0:02:35,2.5,locational,locational,,locational,,,single
Licensed Daycare Facilities,1,5,0.00%,20.00%,0:01:30,5,locational,locational,,locational,,,single
markets,1,1,0.00%,100.00%,0:00:08,0,locational,locational,,locational,,,single
mine,5,1.6,20.00%,50.00%,0:02:10,2.2,locational,locational,,locational,,,single
mountains,1,1,100.00%,0.00%,0:00:00,0,locational,locational,,locational,,,single
national park,1,1,0.00%,100.00%,0:18:57,2,locational,locational,,locational,,,single
National park,1,3,100.00%,0.00%,0:00:22,0,locational,locational,,locational,,,single
national parks,1,2,0.00%,50.00%,0:02:05,2,locational,locational,,locational,,,single
native land,1,2,0.00%,50.00%,0:00:14,1,locational,locational,,locational,,,single
